company_name,category_query,city,phone,email,website,address,google_place_id
Fast As Pho,restaurants,"Denver, CO",,,https://www.fastaspho.co/,"10161 W Bowles Ave, Littleton, CO 80127, USA",ChIJZ-C_HI1_a4cRiTuT3e04h-I
Hotpot Den,restaurants,"Denver, CO",(720) 826-2572,,https://www.hotpotden.com/,"5934 S Kipling Pkwy Ste E, Littleton, CO 80127, USA",ChIJDeSMjfl_a4cRKI6vAbbmiYc
Bad Daddy's Burger Bar,restaurants,"Denver, CO",(303) 904-9285,,https://www.baddaddysburgerbar.com/locations/bad-daddys-burger-bar-6,"8501 W Bowles Ave #2025, Littleton, CO 80123, USA",ChIJ00pJEBp_a4cRpVH6ghTx9wM
Food Court,restaurants,"Denver, CO",,,,"8501 W Bowles Ave, Littleton, CO 80123, USA",ChIJ0fYt4Ct_a4cRuGc5YBE4dUw
Stuboy's BBQ & Catering,restaurants,"Denver, CO",(303) 248-3176,,https://stuboysbbq.com/?utm_source=google,"6004 S Kipling Pkwy e, Littleton, CO 80127, USA",ChIJVZFXvfx_a4cRPZOvlCYc29I
Tacos Selene Littleton,restaurants,"Denver, CO",(303) 972-0905,,https://tacosselenecolorado.com/,"5924 S Kipling Pkwy, Littleton, CO 80123, USA",ChIJKRmi71B_a4cRdUZe3evbiIA
Modern Market Eatery - Littleton,restaurants,"Denver, CO",(720) 806-1724,,https://modernmarket.com/,"8501 W Bowles Ave #2030, Littleton, CO 80123, USA",ChIJC_mTHRp_a4cRO7Na5Jps6Ug
India Nepal Oven,restaurants,"Denver, CO",(303) 933-2829,,http://www.indianepalovenlittleton.com/?utm_source=gmb&utm_medium=website,"9126 W Bowles Ave Ste 1B, Littleton, CO 80123, USA",ChIJ2dkiYBh_a4cR3NUwO3PRu5g
Thai Bistro,restaurants,"Denver, CO",(720) 981-7600,,http://www.thaibistro.net/,"5924 S Kipling Pkwy, Littleton, CO 80127, USA",ChIJeSOAiCN_a4cRxpLqa9Y6xyI
Jin's Asian Bistro,restaurants,"Denver, CO",(303) 979-9599,,https://www.jinslittleton.com/,"8996 W Bowles Ave, Littleton, CO 80123, USA",ChIJx-mtFfN_a4cRIB1QKJmGq6c
The Lake House Kitchen & Tavern,restaurants,"Denver, CO",(720) 758-8880,,https://lakehousekt.com/?utm_source=google,"8026 W Bowles Ave, Littleton, CO 80123, USA",ChIJawI3jGB_a4cRA2h7F01raEs
Rice n Roll,restaurants,"Denver, CO",,,https://ricenroll1.durablesites.com/,"8501 W Bowles Ave, Littleton, CO 80123, USA",ChIJm7skf31_a4cRC5q46U8GgnM
Urban air cafe,restaurants,"Denver, CO",,,,"8196 W Bowles Ave, Columbine Valley, CO 80123, USA",ChIJ78NyHgB_a4cR-awAbNOg1hg
City Buffet,restaurants,"Denver, CO",(720) 541-6811,,https://cocitybuffet.com/,"5066 S Wadsworth Blvd Unit 123, Littleton, CO 80123, USA",ChIJL-vUJgB_a4cRg8jKeEjRCqk
Chili's Grill & Bar,restaurants,"Denver, CO",(303) 973-5863,,https://www.chilis.com/locations/us/colorado/littleton/southwest-plaza?utm_source=google&utm_medium=local&utm_campaign=Chilis,"8450 W Cross Dr, Littleton, CO 80123, USA",ChIJkVEvERB_a4cRWCE4pyHZZD4
Le Peep Bowles Crossing,restaurants,"Denver, CO",(303) 973-3202,,http://www.lepeep.com/,"8055 W Bowles Ave, Littleton, CO 80123, USA",ChIJQapG8wR_a4cRXoIAtJ5YQ74
First Watch,restaurants,"Denver, CO",(720) 571-1344,,http://www.firstwatch.com/locations/bowles/?utm_source=gbp-listing&utm_medium=organic&utm_campaign=gbp-listing&utm_content=bowles,"5866 S Wadsworth Blvd Ste 3700, Littleton, CO 80123, USA",ChIJrzUzv9V_a4cRot-59HLGF90
Mesa Latin Kitchen,restaurants,"Denver, CO",(720) 994-6401,,https://mesalatinkitchen.com/?utm_source=google,"8156 W Bowles Ave, Littleton, CO 80123, USA",ChIJSc69JXt_a4cR5mByhAIG2R8
Gunther Toody's Diner,restaurants,"Denver, CO",(303) 932-1957,,https://www.gunthertoodys.com/,"8266 W Bowles Ave, Littleton, CO 80123, USA",ChIJ_Y37tgR_a4cRrvUU3L4OLTc
